ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
ali,12,1292,98,90
zaryab,90,4363,23,34
farhal,23,3456,0,0
